title,summary,published
"High-resolution observations of two pores with the integral field unit
  (IFU) of the GREGOR Infrared Spectrograph (GRIS)","The goal is to compare the intricate details of the magnetic and flow fields
around two solar pores, where one is part of an active region and the other is
an isolated pore, with a secondary goal of demonstrating the scientific
capabilities of the GRIS IFU. Two pores were observed with the HiFI and the
GRIS IFU at the GREGOR solar telescope on 29 May and 6 June 2019. The GRIS IFU
mosaics provide spectropolarimetric data for inversions of the Ca I 1083.9 nm
and Si I 1082.7 nm spectral lines, covering the deep and upper photosphere. The
t-SNE machine learning algorithm is employed to identify different classes of
Si I Stokes-V profiles. The LCT technique derives horizontal proper motions
around the pores. Both pores contain a thin light bridge, are stable during the
observations, and never develop a penumbra. The isolated pore is three times
smaller and significantly darker than the active-region pore, which is not
predicted by simulations. The LCT maps show inflows around both pores, with
lower velocities for the isolated pore. Both pores are embedded in the
photospheric LOS velocity pattern of the granulation but filamentary structures
are only visible in the chromospheric LOS maps of the active-region pore. The
t-SNE identifies five clusters of Si I Stokes-V profiles, revealing an
`onion-peel' magnetic field structure, despite the small size of the pores. The
core with strong vertical magnetic fields is surrounded by concentric layers
with lower and more inclined magnetic fields. The active-region pore shows some
signatures of increased interaction between plasma motions and magnetic fields,
which can be considered as early signs of penumbra formation. However, similar
physical properties prevail for smaller pores. A statistically meaningful
sample of different pore sizes and morphologies is required to distinguish
between active-region and isolated pore formation mechanisms.",2024-06-20T13:26:01Z
Solar rotation and activity for cycle 24 from SDO/AIA observations,"The differential rotation plays a crucial role in the dynamics of the Sun. We
study the solar rotation and its correlation with solar activity by applying a
modified machine learning algorithm to identify and track coronal bright points
(CBPs) from the Solar Dynamics Observatory/Atmospheric Imaging Assembly
observations at 193 \AA\ during cycle 24. For more than 321,440 CBPs, the
sidereal and meridional velocities are computed. We find the occurring height
of CBPs about 5627 km above the photosphere. We obtain a rotational map for the
corona by tracking CBPs at the formation height of Fe\,{\sc xii} (193 \AA)
emissions. The equator rotation (14.$^{\circ}$40 to 14.$^{\circ}$54 day$^{-1}$)
and latitudinal gradient of rotation ($ - $3.$^{\circ}$0 to $ - $2.$^{\circ}$64
day$^{-1}$) show very slightly positive and negative trends with solar activity
(sunspots and flares), respectively. For cycle 24, our investigations show that
the northern hemisphere has more differential rotation than the southern
hemisphere, confirmed by the asymmetry of the midlatitude rotation parameter.
The asymmetry (ranked) of the latitudinal gradient of the rotation parameter is
concordant with the sunspot numbers for 7 yr within the 9 yr of the cycle;
however, for only 3 yr, it is concordant with the flare index. The minimum
horizontal Reynolds stress changes from about $ - $2500 m$^{2}$ s$^{-2}$
(corresponding to high activity) in 2012 and 2014 to $ - $100 m$^{2}$ s$^{-2}$
(corresponding to low activity) in 2019 over 5$^{\circ}$ to 35$^{\circ}$
latitudes within cycle 24. We conclude that the negative horizontal Reynolds
stress (momentum transfer toward the Sun's equator) is a helpful indication of
solar activity.",2024-07-24T19:01:47Z
"J-PLUS: Searching for very metal-poor star candidates using the SPEEM
  pipeline","We explore the stellar content of the Javalambre Photometric Local Universe
Survey (J-PLUS) Data Release 2 and show its potential to identify
low-metallicity stars using the Stellar Parameters Estimation based on Ensemble
Methods (SPEEM) pipeline. SPEEM is a tool to provide determinations of
atmospheric parameters for stars and separate stellar sources from quasars,
using the unique J-PLUS photometric system. The adoption of adequate selection
criteria allows the identification of metal-poor star candidates suitable for
spectroscopic follow-up. SPEEM consists of a series of machine learning models
which uses a training sample observed by both J-PLUS and the SEGUE
spectroscopic survey. The training sample has temperatures Teff between 4\,800
K and 9\,000 K; $\log g$ between 1.0 and 4.5, and $-3.1<[Fe/H]<+0.5$. The
performance of the pipeline has been tested with a sample of stars observed by
the LAMOST survey within the same parameter range. The average differences
between the parameters of a sample of stars observed with SEGUE and J-PLUS,
which were obtained with the SEGUE Stellar Parameter Pipeline and SPEEM,
respectively, are $\Delta Teff\sim 41$ K, $\Delta \log g\sim 0.11$ dex, and
$\Delta [Fe/H]\sim 0.09$ dex. A sample of 177 stars have been identified as new
candidates with $[Fe/H]<-2.5$ and 11 of them have been observed with the ISIS
spectrograph at the William Herschel Telescope. The spectroscopic analysis
confirms that $64\%$ of stars have $[Fe/H]<-2.5$, including one new star with
$[Fe/H]<-3.0$. SPEEM in combination with the J-PLUS filter system has shown the
potential to estimate the stellar atmospheric parameters (Teff, $\log g$, and
[Fe/H]). The spectroscopic validation of the candidates shows that SPEEM yields
a success rate of $64\%$ on the identification of very metal-poor star
candidates with $[Fe/H]<-2.5$.",2021-09-23T19:06:04Z
"Machine learning as a flaring storm warning machine: Was a warning
  machine for the September 2017 solar flaring storm possible?","Machine learning is nowadays the methodology of choice for flare forecasting
and supervised techniques, in both their traditional and deep versions, are
becoming the most frequently used ones for prediction in this area of space
weather. Yet, machine learning has not been able so far to realize an operating
warning system for flaring storms and the scientific literature of the last
decade suggests that its performances in the prediction of intense solar flares
are not optimal.
  The main difficulties related to forecasting solar flaring storms are
probably two. First, most methods are conceived to provide probabilistic
predictions and not to send binary yes/no indications on the consecutive
occurrence of flares along an extended time range. Second, flaring storms are
typically characterized by the explosion of high energy events, which are
seldom recorded in the databases of space missions; as a consequence,
supervised methods are trained on very imbalanced historical sets, which makes
them particularly ineffective for the forecasting of intense flares.
  Yet, in this study we show that supervised machine learning could be utilized
in a way to send timely warnings about the most violent and most unexpected
flaring event of the last decade, and even to predict with some accuracy the
energy budget daily released by magnetic reconnection during the whole time
course of the storm. Further, we show that the combination of
sparsity-enhancing machine learning and feature ranking could allow the
identification of the prominent role that energy played as an Active Region
property in the forecasting process.",2020-07-05T19:03:54Z
Supervised Neural Networks for Helioseismic Ring-Diagram Inversions,"The inversion of ring fit parameters to obtain subsurface flow maps in
ring-diagram analysis for 8 years of SDO observations is computationally
expensive, requiring ~3200 CPU hours. In this paper we apply machine learning
techniques to the inversion in order to speed up calculations. Specifically, we
train a predictor for subsurface flows using the mode fit parameters and the
previous inversion results, to replace future inversion requirements. We
utilize Artificial Neural Networks as a supervised learning method for
predicting the flows in 15 degree ring tiles. To demonstrate that the machine
learning results still contain the subtle signatures key to local helioseismic
studies, we use the machine learning results to study the recently discovered
solar equatorial Rossby waves. The Artificial Neural Network is computationally
efficient, able to make future flow predictions of an entire Carrington
rotation in a matter of seconds, which is much faster than the current ~31 CPU
hours. Initial training of the networks requires ~3 CPU hours. The trained
Artificial Neural Network can achieve a root mean-square error equal to
approximately half that reported for the velocity inversions, demonstrating the
accuracy of the machine learning (and perhaps the overestimation of the
original errors from the ring-diagram pipeline). We find the signature of
equatorial Rossby waves in the machine learning flows covering six years of
data, demonstrating that small-amplitude signals are maintained. The recovery
of Rossby waves in the machine learning flow maps can be achieved with only one
Carrington rotation (27.275 days) of training data. We have shown that machine
learning can be applied to, and perform more efficiently than the current
ring-diagram inversion. The computation burden of the machine learning includes
3 CPU hours for initial training, then around 0.0001 CPU hours for future
predictions.",2019-01-06T06:33:06Z
"A hybrid supervised/unsupervised machine learning approach to solar
  flare prediction","We introduce a hybrid approach to solar flare prediction, whereby a
supervised regularization method is used to realize feature importance and an
unsupervised clustering method is used to realize the binary flare/no-flare
decision. The approach is validated against NOAA SWPC data.",2017-06-21T19:57:20Z
Predicting the Emergence of Solar Active Regions Using Machine Learning,"To create early warning capabilities for upcoming Space Weather disturbances,
we have selected a dataset of 61 emerging active regions, which allows us to
identify characteristic features in the evolution of acoustic power density to
predict continuum intensity emergence. For our study, we have utilized Doppler
shift and continuum intensity observations from the Helioseismic and Magnetic
Imager (HMI) onboard the Solar Dynamics Observatory (SDO). The local tracking
of 30.66 x 30.66-degree patches in the vicinity of active regions allowed us to
trace the evolution of active regions starting from the pre-emergence state. We
have developed a machine learning model to capture the acoustic power flux
density variations associated with upcoming magnetic flux emergence. The
trained Long Short-Term Memory (LSTM) model is able to predict 5 hours ahead
whether, in a given area of the solar surface, continuum intensity values will
decrease. The performed study allows us to investigate the potential of the
machine learning approach to predict the emergence of active regions using
acoustic power maps as input.",2024-02-14T01:41:50Z
Predicting Solar Flares with Remote Sensing and Machine Learning,"High energy solar flares and coronal mass ejections have the potential to
destroy Earth's ground and satellite infrastructures, causing trillions of
dollars in damage and mass human suffering. Destruction of these critical
systems would disable power grids and satellites, crippling communications and
transportation. This would lead to food shortages and an inability to respond
to emergencies. A solution to this impending problem is proposed herein using
satellites in solar orbit that continuously monitor the Sun, use artificial
intelligence and machine learning to calculate the probability of massive solar
explosions from this sensed data, and then signal defense mechanisms that will
mitigate the threat. With modern technology there may be only safeguards that
can be implemented with enough warning, which is why the best algorithm must be
identified and continuously trained with existing and new data to maximize true
positive rates while minimizing false negatives. This paper conducts a survey
of current machine learning models using open source solar flare prediction
data. The rise of edge computing allows machine learning hardware to be placed
on the same satellites as the sensor arrays, saving critical time by not having
to transmit remote sensing data across the vast distances of space. A system of
systems approach will allow enough warning for safety measures to be put into
place mitigating the risk of disaster.",2021-10-14T18:28:28Z
Predicting Stellar Rotation Periods Using XGBoost,"This work aims to develop a computationally inexpensive approach, based on
machine learning techniques, to accurately predict thousands of stellar
rotation periods. The innovation in our approach is the use of the XGBoost
algorithm to predict the rotation periods of Kepler targets by means of
regression analysis. Therefore, we focused on building a robust supervised
machine learning model to predict surface stellar rotation periods from
structured data sets built from the Kepler catalogue of K and M stars. We
analysed the set of independent variables extracted from Kepler light curves
and investigated the relationships between them and the ground truth. Using the
extreme gradient boosting method, we obtained a minimal set of variables that
can be used to build machine learning models for predicting stellar rotation
periods. Our models are validated by predicting the rotation periods of about
2900 stars. The results are compatible with those obtained by classical
techniques and comparable to those obtained by other recent machine learning
approaches, with the advantage of using much fewer predictors. Restricting the
analysis to stars with rotation periods of less than 45 days, our models are on
average 96 % correct. We have developed an innovative approach, based on a
machine learning method, to accurately fit the rotation periods of stars. Based
on the results of this study, we conclude that the best models generated by the
proposed methodology are competitive with the state-of-the-art approaches, with
the advantage of being computationally cheaper, easy to train, and relying on
small sets of predictors.",2023-05-03T20:01:15Z
Predicting the Geoeffectiveness of CMEs Using Machine Learning,"Coronal mass ejections (CMEs) are the most geoeffective space weather
phenomena, being associated with large geomagnetic storms, having the potential
to cause disturbances to telecommunication, satellite network disruptions,
power grid damages and failures. Thus, considering these storms' potential
effects on human activities, accurate forecasts of the geoeffectiveness of CMEs
are paramount. This work focuses on experimenting with different machine
learning methods trained on white-light coronagraph datasets of close to sun
CMEs, to estimate whether such a newly erupting ejection has the potential to
induce geomagnetic activity. We developed binary classification models using
logistic regression, K-Nearest Neighbors, Support Vector Machines, feed forward
artificial neural networks, as well as ensemble models. At this time, we
limited our forecast to exclusively use solar onset parameters, to ensure
extended warning times. We discuss the main challenges of this task, namely the
extreme imbalance between the number of geoeffective and ineffective events in
our dataset, along with their numerous similarities and the limited number of
available variables. We show that even in such conditions, adequate hit rates
can be achieved with these models.",2022-06-23T03:56:22Z
General classification of light curves using extreme boosting,"A significant degree of misclassification of variable stars through the
application of machine learning methods to survey data motivates a search for
more reliable and accurate machine learning procedures, especially in light of
the very large data cubes that will be generated by future surveys and the need
for immediate production of accurate, formalised catalogues of variable
behaviour to enable science to proceed. In this study, the efficiency of an
ensemble machine learning procedure utilising extreme boosting was determined
by application to a large sample of data from the OGLE III and IV surveys and
from the \textit{Kepler} mission. Through recursive training of classifiers,
the study developed a variable star classification workflow which produced an
average efficiency determined with the average precision of the model (0.81 for
\textit{Kepler} and 0.91 for OGLE) and the $f-score$ of predictions on the test
sets. This suggests that extreme boosting can be presented as one of the
favourable shallow learning methods in developing a variable star classifier
for future large survey projects.",2019-06-15T23:57:44Z
"Solar Flare Index Prediction Using SDO/HMI Vector Magnetic Data Products
  with Statistical and Machine Learning Methods","Solar flares, especially the M- and X-class flares, are often associated with
coronal mass ejections (CMEs). They are the most important sources of space
weather effects, that can severely impact the near-Earth environment. Thus it
is essential to forecast flares (especially the M-and X-class ones) to mitigate
their destructive and hazardous consequences. Here, we introduce several
statistical and Machine Learning approaches to the prediction of the AR's Flare
Index (FI) that quantifies the flare productivity of an AR by taking into
account the numbers of different class flares within a certain time interval.
Specifically, our sample includes 563 ARs appeared on solar disk from May 2010
to Dec 2017. The 25 magnetic parameters, provided by the Space-weather HMI
Active Region Patches (SHARP) from Helioseismic and Magnetic Imager (HMI) on
board the Solar Dynamics Observatory (SDO), characterize coronal magnetic
energy stored in ARs by proxy and are used as the predictors. We investigate
the relationship between these SHARP parameters and the FI of ARs with a
machine-learning algorithm (spline regression) and the resampling method
(Synthetic Minority Over-Sampling Technique for Regression with Gaussian Noise,
short by SMOGN). Based on the established relationship, we are able to predict
the value of FIs for a given AR within the next 1-day period. Compared with
other 4 popular machine learning algorithms, our methods improve the accuracy
of FI prediction, especially for large FI. In addition, we sort the importance
of SHARP parameters by Borda Count method calculated from the ranks that are
rendered by 9 different machine learning methods.",2022-09-28T02:13:33Z
Unsupervised Learning for Stellar Spectra with Deep Normalizing Flows,"Stellar spectra encode detailed information about the stars. However, most
machine learning approaches in stellar spectroscopy focus on supervised
learning. We introduce Mendis, an unsupervised learning method, which adopts
normalizing flows consisting of Neural Spline Flows and GLOW to describe the
complex distribution of spectral space. A key advantage of Mendis is that we
can describe the conditional distribution of spectra, conditioning on stellar
parameters, to unveil the underlying structures of the spectra further. In
particular, our study demonstrates that Mendis can robustly capture the pixel
correlations in the spectra leading to the possibility of detecting unknown
atomic transitions from stellar spectra. The probabilistic nature of Mendis
also enables a rigorous determination of outliers in extensive spectroscopic
surveys without the need to measure elemental abundances through existing
analysis pipelines beforehand.",2022-07-06T16:22:33Z
"Machine Learning Refinements to Metallicity-Dependent Isotopic
  Abundances","The project aims to use machine learning algorithms to fit the free
parameters of an isotopic scaling model to elemental observations. The
processes considered are massive star nucleosynthesis, Type Ia SNe, the
s-process, the r-process, and p-isotope production. The analysis on the
successful fits seeks to minimize the reduced chi squared between the model and
the data. Based upon the successful refinement of the isotopic parameterized
scaling model, a table providing the 287 stable isotopic abundances as a
function of metallicity, separated into astrophysical processes, is useful for
identifying the chemical history of them. The table provides a complete
averaged chemical history for the Galaxy, subject to the underlying model
constraints.",2024-03-05T06:06:22Z
"Machine Learning Approaches to Solar-Flare Forecasting: Is Complex
  Better?","Recently, there has been growing interest in the use of machine-learning
methods for predicting solar flares. Initial efforts along these lines employed
comparatively simple models, correlating features extracted from observations
of sunspot active regions with known instances of flaring. Typically, these
models have used physics-inspired features that have been carefully chosen by
experts in order to capture the salient features of such magnetic field
structures. Over time, the sophistication and complexity of the models involved
has grown. However, there has been little evolution in the choice of feature
sets, nor any systematic study of whether the additional model complexity is
truly useful. Our goal is to address these issues. To that end, we compare the
relative prediction performance of machine-learning-based, flare-forecasting
models with varying degrees of complexity. We also revisit the feature set
design, using topological data analysis to extract shape-based features from
magnetic field images of the active regions. Using hyperparameter training for
fair comparison of different machine-learning models across different feature
sets, we show that simpler models with fewer free parameters \textit{generally
perform better than more-complicated models}, ie., powerful machinery does not
necessarily guarantee better prediction performance. Secondly, we find that
\textit{abstract, shape-based features contain just as much useful
information}, for the purposes of flare prediction, as the set of hand-crafted
features developed by the solar-physics community over the years. Finally, we
study the effects of dimensionality reduction, using principal component
analysis, to show that streamlined feature sets, overall, perform just as well
as the corresponding full-dimensional versions.",2022-02-17T17:28:56Z
"Applications of Machine Learning to Predicting Core-collapse Supernova
  Explosion Outcomes","Most existing criteria derived from progenitor properties of core-collapse
supernovae are not very accurate in predicting explosion outcomes. We present a
novel look at identifying the explosion outcome of core-collapse supernovae
using a machine learning approach. Informed by a sample of 100 2D axisymmetric
supernova simulations evolved with Fornax, we train and evaluate a random
forest classifier as an explosion predictor. Furthermore, we examine
physics-based feature sets including the compactness parameter, the Ertl
condition, and a newly developed set that characterizes the silicon/oxygen
interface. With over 1500 supernovae progenitors from 9$-$27 M$_{\odot}$, we
additionally train an auto-encoder to extract physics-agnostic features
directly from the progenitor density profiles. We find that the density
profiles alone contain meaningful information regarding their explodability.
Both the silicon/oxygen and auto-encoder features predict explosion outcome
with $\approx$90\% accuracy. In anticipation of much larger multi-dimensional
simulation sets, we identify future directions in which machine learning
applications will be useful beyond explosion outcome prediction.",2022-08-02T18:00:05Z
Incorporating Polar Field Data for Improved Solar Flare Prediction,"In this paper, we consider incorporating data associated with the sun's north
and south polar field strengths to improve solar flare prediction performance
using machine learning models. When used to supplement local data from active
regions on the photospheric magnetic field of the sun, the polar field data
provides global information to the predictor. While such global features have
been previously proposed for predicting the next solar cycle's intensity, in
this paper we propose using them to help classify individual solar flares. We
conduct experiments using HMI data employing four different machine learning
algorithms that can exploit polar field information. Additionally, we propose a
novel probabilistic mixture of experts model that can simply and effectively
incorporate polar field data and provide on-par prediction performance with
state-of-the-art solar flare prediction algorithms such as the Recurrent Neural
Network (RNN). Our experimental results indicate the usefulness of the polar
field data for solar flare prediction, which can improve Heidke Skill Score
(HSS2) by as much as 10.1%.",2022-12-04T03:06:11Z
"Quadruple-star systems are not always nested triples: a machine learning
  approach to dynamical stability","The dynamical stability of quadruple-star systems has traditionally been
treated as a problem involving two `nested' triples which constitute a
quadruple. In this novel study, we employed a machine learning algorithm, the
multi-layer perceptron (MLP), to directly classify 2+2 and 3+1 quadruples based
on their stability (or long-term boundedness). The training data sets for the
classification, comprised of $5\times10^5$ quadruples each, were integrated
using the highly accurate direct $N$-body code MSTAR. We also carried out a
limited parameter space study of zero-inclination systems to directly compare
quadruples to triples. We found that both our quadruple MLP models perform
better than a `nested' triple MLP approach, which is especially significant for
3+1 quadruples. The classification accuracies for the 2+2 MLP and 3+1 MLP
models are 94% and 93% respectively, while the scores for the `nested' triple
approach are 88% and 66% respectively. This is a crucial implication for
quadruple population synthesis studies. Our MLP models, which are very simple
and almost instantaneous to implement, are available on GitHub, along with
Python3 scripts to access them.",2023-01-24T11:27:17Z
"Predicting Physical Parameters of Cepheid and RR Lyrae variables in an
  Instant with Machine Learning","We present a machine learning method to estimate the physical parameters of
classical pulsating stars such as RR Lyrae and Cepheid variables based on an
automated comparison of their theoretical and observed light curve parameters
at multiple wavelengths. We train artificial neural networks (ANNs) on
theoretical pulsation models to predict the fundamental parameters (mass,
radius, luminosity, and effective temperature) of Cepheid and RR Lyrae stars
based on their period and light curve parameters. The fundamental parameters of
these stars can be estimated up to 60 percent more accurately when the light
curve parameters are taken into consideration. This method was applied to the
observations of hundreds of Cepheids and thousands of RR Lyrae in the
Magellanic Clouds to produce catalogs of estimated masses, radii, luminosities,
and other parameters of these stars.",2023-03-23T22:05:58Z
"Spectral identification and classification of dusty stellar sources
  using spectroscopic and multiwavelength observations through machine learning","We proposed a machine learning approach to identify and distinguish dusty
stellar sources employing supervised and unsupervised methods and categorizing
point sources, mainly evolved stars, using photometric and spectroscopic data
collected over the IR sky. Spectroscopic data is typically used to identify
specific infrared sources. However, our goal is to determine how well these
sources can be identified using multiwavelength data. Consequently, we
developed a robust training set of spectra of confirmed sources from the Large
and Small Magellanic Clouds derived from SAGE-Spec Spitzer Legacy and SMC-Spec
Spitzer Infrared Spectrograph (IRS) spectral catalogs. Subsequently, we applied
various learning classifiers to distinguish stellar subcategories comprising
young stellar objects (YSOs), C-rich asymptotic giant branch (CAGB), O-rich AGB
stars (OAGB), Red supergiant (RSG), and post-AGB stars. We have classified
around 700 counts of these sources. It should be highlighted that despite
utilizing the limited spectroscopic data we trained, the accuracy and models'
learning curve provided outstanding results for some of the models. Therefore,
the Support Vector Classifier (SVC) is the most accurate classifier for this
limited dataset.",2022-11-07T10:07:37Z
Identifying and Tracking Solar Magnetic Flux Elements with Deep Learning,"Deep learning has drawn a lot of interest in recent years due to its
effectiveness in processing big and complex observational data gathered from
diverse instruments. Here we propose a new deep learning method, called
SolarUnet, to identify and track solar magnetic flux elements or features in
observed vector magnetograms based on the Southwest Automatic Magnetic
Identification Suite (SWAMIS). Our method consists of a data pre-processing
component that prepares training data from the SWAMIS tool, a deep learning
model implemented as a U-shaped convolutional neural network for fast and
accurate image segmentation, and a post-processing component that prepares
tracking results. SolarUnet is applied to data from the 1.6 meter Goode Solar
Telescope at the Big Bear Solar Observatory. When compared to the widely used
SWAMIS tool, SolarUnet is faster while agreeing mostly with SWAMIS on feature
size and flux distributions, and complementing SWAMIS in tracking long-lifetime
features. Thus, the proposed physics-guided deep learning-based tool can be
considered as an alternative method for solar magnetic tracking.",2020-08-27T12:23:18Z
"Inferring Vector Magnetic Fields from Stokes Profiles of GST/NIRIS Using
  a Convolutional Neural Network","We propose a new machine learning approach to Stokes inversion based on a
convolutional neural network (CNN) and the Milne-Eddington (ME) method. The
Stokes measurements used in this study were taken by the Near InfraRed Imaging
Spectropolarimeter (NIRIS) on the 1.6 m Goode Solar Telescope (GST) at the Big
Bear Solar Observatory. By learning the latent patterns in the training data
prepared by the physics-based ME tool, the proposed CNN method is able to infer
vector magnetic fields from the Stokes profiles of GST/NIRIS. Experimental
results show that our CNN method produces smoother and cleaner magnetic maps
than the widely used ME method. Furthermore, the CNN method is 4~6 times faster
than the ME method, and is able to produce vector magnetic fields in near
real-time, which is essential to space weather forecasting. Specifically, it
takes ~50 seconds for the CNN method to process an image of 720 x 720 pixels
comprising Stokes profiles of GST/NIRIS. Finally, the CNN-inferred results are
highly correlated to the ME-calculated results and are closer to the ME's
results with the Pearson product-moment correlation coefficient (PPMCC) being
closer to 1 on average than those from other machine learning algorithms such
as multiple support vector regression and multilayer perceptrons (MLP). In
particular, the CNN method outperforms the current best machine learning method
(MLP) by 2.6% on average in PPMCC according to our experimental study. Thus,
the proposed physics-assisted deep learning-based CNN tool can be considered as
an alternative, efficient method for Stokes inversion for high resolution
polarimetric observations obtained by GST/NIRIS.",2020-05-08T10:26:12Z
Machine learning search for variable stars,"Photometric variability detection is often considered as a hypothesis testing
problem: an object is variable if the null-hypothesis that its brightness is
constant can be ruled out given the measurements and their uncertainties.
Uncorrected systematic errors limit the practical applicability of this
approach to high-amplitude variability and well-behaving data sets. Searching
for a new variability detection technique that would be applicable to a wide
range of variability types while being robust to outliers and underestimated
measurement uncertainties, we propose to consider variability detection as a
classification problem that can be approached with machine learning. We compare
several classification algorithms: Logistic Regression (LR), Support Vector
Machines (SVM), k-Nearest Neighbors (kNN) Neural Nets (NN), Random Forests (RF)
and Stochastic Gradient Boosting classifier (SGB) applied to 18 features
(variability indices) quantifying scatter and/or correlation between points in
a light curve. We use a subset of OGLE-II Large Magellanic Cloud (LMC)
photometry (30265 light curves) that was searched for variability using
traditional methods (168 known variable objects identified) as the training set
and then apply the NN to a new test set of 31798 OGLE-II LMC light curves.
Among 205 candidates selected in the test set, 178 are real variables, 13
low-amplitude variables are new discoveries. We find that the considered
machine learning classifiers are more efficient (they find more variables and
less false candidates) compared to traditional techniques that consider
individual variability indices or their linear combination. The NN, SGB, SVM
and RF show a higher efficiency compared to LR and kNN.",2017-10-19T18:00:01Z
"Searching for Barium Stars from the LAMOST Spectra Using the Machine
  Learning Method: I","Barium stars are chemically peculiar stars that exhibit enhancement of
s-process elements. Chemical abundance analysis of barium stars can provide
crucial clues for the study of the chemical evolution of the Galaxy. The Large
Sky Area Multi-Object Fiber Spectroscopic Telescope (LAMOST) has released more
than 6 million low-resolution spectra of FGK-type stars by Data Release 9
(DR9), which can significantly increase the sample size of barium stars. In
this paper, we used machine learning algorithms to search for barium stars from
low-resolution spectra of LAMOST. We have applied the Light Gradient Boosting
Machine (LGBM) algorithm to build classifiers of barium stars based on
different features, and build predictors for determining [Ba/Fe] and [Sr/Fe] of
barium candidates. The classification with features in the whole spectrum
performs best: for the sample with strontium enhancement, Precision = 97.81%,
and Recall = 96.05%; for the sample with barium enhancement, Precision = 96.03%
and Recall = 97.70%. In prediction, [Ba/Fe] estimated from BaII line at 4554
\r{A} has smaller dispersion than that from BaII line at 4934 \r{A}: MAE$_{4554
\r{A}}$ = 0.07, $\sigma_{4554 \r{A}}$ = 0.12. [Sr/Fe] estimated from SrII line
at 4077 \r{A} performs better than that from SrII line at 4215 \r{A}:
MAE$_{4077 \r{A}}$ = 0.09, $\sigma_{4077 \r{A}}$ = 0.16. A comparison of the
LGBM and other popular algorithms shows that LGBM is accurate and efficient in
classifying barium stars. This work demonstrated that machine learning can be
used as an effective means to identify chemically peculiar stars and determine
their elemental abundance.",2022-11-13T01:07:17Z
"RotNet: Fast and Scalable Estimation of Stellar Rotation Periods Using
  Convolutional Neural Networks","Magnetic activity in stars manifests as dark spots on their surfaces that
modulate the brightness observed by telescopes. These light curves contain
important information on stellar rotation. However, the accurate estimation of
rotation periods is computationally expensive due to scarce ground truth
information, noisy data, and large parameter spaces that lead to degenerate
solutions. We harness the power of deep learning and successfully apply
Convolutional Neural Networks to regress stellar rotation periods from Kepler
light curves. Geometry-preserving time-series to image transformations of the
light curves serve as inputs to a ResNet-18 based architecture which is trained
through transfer learning. The McQuillan catalog of published rotation periods
is used as ansatz to groundtruth. We benchmark the performance of our method
against a random forest regressor, a 1D CNN, and the Auto-Correlation Function
(ACF) - the current standard to estimate rotation periods. Despite limiting our
input to fewer data points (1k), our model yields more accurate results and
runs 350 times faster than ACF runs on the same number of data points and
10,000 times faster than ACF runs on 65k data points. With only minimal feature
engineering our approach has impressive accuracy, motivating the application of
deep learning to regress stellar parameters on an even larger scale",2020-12-02T07:14:11Z
"An Interpretable Machine Learning Framework for Modeling High-Resolution
  Spectroscopic Data","Comparison of echelle spectra to synthetic models has become a computational
statistics challenge, with over ten thousand individual spectral lines
affecting a typical cool star echelle spectrum. Telluric artifacts, imperfect
line lists, inexact continuum placement, and inflexible models frustrate the
scientific promise of these information-rich datasets. Here we debut an
interpretable machine-learning framework ""blas\'e"" that addresses these and
other challenges. The semi-empirical approach can be viewed as ""transfer
learning"" -- first pre-training models on noise-free precomputed synthetic
spectral models, then learning the corrections to line depths and widths from
whole-spectrum fitting to an observed spectrum. The auto-differentiable model
employs back-propagation, the fundamental algorithm empowering modern Deep
Learning and Neural Networks. Here, however, the 40,000+ parameters symbolize
physically interpretable line profile properties such as amplitude, width,
location, and shape, plus radial velocity and rotational broadening. This
hybrid data-/model- driven framework allows joint modeling of stellar and
telluric lines simultaneously, a potentially transformative step forwards for
mitigating the deleterious telluric contamination in the near-infrared. The
blas\'e approach acts as both a deconvolution tool and semi-empirical model.
The general purpose scaffolding may be extensible to many scientific
applications, including precision radial velocities, Doppler imaging, chemical
abundances, and remote sensing. Its sparse-matrix architecture and
GPU-acceleration make blas\'e fast. The open-source PyTorch-based code includes
tutorials, Application Programming Interface (API) documentation, and more. We
show how the tool fits into the existing Python spectroscopy ecosystem,
demonstrate a range of astrophysical applications, and discuss limitations and
future extensions.",2022-10-04T18:00:49Z
"Towards Interpretable Solar Flare Prediction with Attention-based Deep
  Neural Networks","Solar flare prediction is a central problem in space weather forecasting and
recent developments in machine learning and deep learning accelerated the
adoption of complex models for data-driven solar flare forecasting. In this
work, we developed an attention-based deep learning model as an improvement
over the standard convolutional neural network (CNN) pipeline to perform
full-disk binary flare predictions for the occurrence of $\geq$M1.0-class
flares within the next 24 hours. For this task, we collected compressed images
created from full-disk line-of-sight (LoS) magnetograms. We used data-augmented
oversampling to address the class imbalance issue and used true skill statistic
(TSS) and Heidke skill score (HSS) as the evaluation metrics. Furthermore, we
interpreted our model by overlaying attention maps on input magnetograms and
visualized the important regions focused on by the model that led to the
eventual decision. The significant findings of this study are: (i) We
successfully implemented an attention-based full-disk flare predictor ready for
operational forecasting where the candidate model achieves an average
TSS=0.54$\pm$0.03 and HSS=0.37$\pm$0.07. (ii) we demonstrated that our
full-disk model can learn conspicuous features corresponding to active regions
from full-disk magnetogram images, and (iii) our experimental evaluation
suggests that our model can predict near-limb flares with adept skill and the
predictions are based on relevant active regions (ARs) or AR characteristics
from full-disk magnetograms.",2023-09-08T19:21:10Z
